1, 3, 5, 7, 9, 10, 11, 13, 15, 17, 19
1, 3, 5, 7, 9, '>=10', '>1100', '>3300', '>5500', '>7700', '>10000'
x,y,region
19.0909090909,0,CDR3
19.1919191919,0,CDR3
19.2929292929,0,CDR3
19.3939393939,0,CDR3
19.4949494949,0,CDR3
19.595959596,0,CDR3
19.696969697,0,CDR3
19.797979798,0,CDR3
19.898989899,0,CDR3
20.0,0,CDR3
1,0.470817120623,V
2,0.105058365759,V
3,0.0505836575875,V
4,0.00778210116732,V
5,0.00389105058366,V
6,0.00389105058366,V
7,0.0,V
8,0.00389105058366,V
9,0.0,V
10.0,0.0622568093385,V
10.101010101,0,V
10.202020202,0,V
10.303030303,0,V
10.404040404,0,V
10.5050505051,0,V
10.6060606061,0,V
10.7070707071,0,V
10.8080808081,0,V
10.9090909091,0,V
11.0101010101,0,V
11.1111111111,0,V
11.2121212121,0,V
11.3131313131,0,V
11.4141414141,0,V
11.5151515152,0,V
11.6161616162,0,V
11.7171717172,0,V
11.8181818182,0,V
11.9191919192,0,V
12.0202020202,0,V
12.1212121212,0,V
12.2222222222,0,V
12.3232323232,0,V
12.4242424242,0,V
12.5252525253,0,V
12.6262626263,0,V
12.7272727273,0,V
12.8282828283,0,V
12.9292929293,0,V
13.0303030303,0,V
13.1313131313,0,V
13.2323232323,0,V
13.3333333333,0,V
13.4343434343,0,V
13.5353535354,0,V
13.6363636364,0,V
13.7373737374,0,V
13.8383838384,0,V
13.9393939394,0,V
14.0404040404,0,V
14.1414141414,0,V
14.2424242424,0,V
14.3434343434,0,V
14.4444444444,0,V
14.5454545455,0,V
14.6464646465,0,V
14.7474747475,0,V
14.8484848485,0,V
14.9494949495,0,V
15.0505050505,0,V
15.1515151515,0,V
15.2525252525,0,V
15.3535353535,0,V
15.4545454545,0,V
15.5555555556,0,V
15.6565656566,0,V
15.7575757576,0,V
15.8585858586,0,V
15.9595959596,0,V
16.0606060606,0,V
16.1616161616,0,V
16.2626262626,0,V
16.3636363636,0,V
16.4646464646,0,V
16.5656565657,0,V
16.6666666667,0,V
16.7676767677,0,V
16.8686868687,0,V
16.9696969697,0,V
17.0707070707,0,V
17.1717171717,0,V
17.2727272727,0,V
17.3737373737,0,V
17.4747474747,0,V
17.5757575758,0,V
17.6767676768,0,V
17.7777777778,0,V
17.8787878788,0,V
17.9797979798,0,V
18.0808080808,0,V
18.1818181818,0,V
18.2828282828,0,V
18.3838383838,0,V
18.4848484848,0,V
18.5858585859,0,V
18.6868686869,0,V
18.7878787879,0,V
18.8888888889,0,V
18.9898989899,0,V
19.0909090909,0,V
19.1919191919,0,V
19.2929292929,0,V
19.3939393939,0,V
19.4949494949,0,V
19.595959596,0,V
19.696969697,0,V
19.797979798,0,V
19.898989899,0,V
20.0,0,V
