1, 3, 5, 7, 9, 10, 11, 13, 15, 17, 19
1, 3, 5, 7, 9, '>=10', '>1100', '>3300', '>5500', '>7700', '>10000'
x,y,region
13.7373737374,0,FR4
13.8383838384,0,FR4
13.9393939394,0,FR4
14.0404040404,0,FR4
14.1414141414,0,FR4
14.2424242424,0,FR4
14.3434343434,0,FR4
14.4444444444,0,FR4
14.5454545455,0,FR4
14.6464646465,0,FR4
14.7474747475,0,FR4
14.8484848485,0,FR4
14.9494949495,0,FR4
15.0505050505,0,FR4
15.1515151515,0,FR4
15.2525252525,0,FR4
15.3535353535,0,FR4
15.4545454545,0,FR4
15.5555555556,0,FR4
15.6565656566,0,FR4
15.7575757576,0,FR4
15.8585858586,0,FR4
15.9595959596,0,FR4
16.0606060606,0,FR4
16.1616161616,0,FR4
16.2626262626,0,FR4
16.3636363636,0,FR4
16.4646464646,0,FR4
16.5656565657,0,FR4
16.6666666667,0,FR4
16.7676767677,0,FR4
16.8686868687,0,FR4
16.9696969697,0,FR4
17.0707070707,0,FR4
17.1717171717,0,FR4
17.2727272727,0,FR4
17.3737373737,0,FR4
17.4747474747,0,FR4
17.5757575758,0,FR4
17.6767676768,0,FR4
17.7777777778,0,FR4
17.8787878788,0,FR4
17.9797979798,0,FR4
18.0808080808,0,FR4
18.1818181818,0,FR4
18.2828282828,0,FR4
18.3838383838,0,FR4
18.4848484848,0,FR4
18.5858585859,0,FR4
18.6868686869,0,FR4
18.7878787879,0,FR4
18.8888888889,0,FR4
18.9898989899,0,FR4
19.0909090909,0,FR4
19.1919191919,0,FR4
19.2929292929,0,FR4
19.3939393939,0,FR4
19.4949494949,0,FR4
19.595959596,0,FR4
19.696969697,0,FR4
19.797979798,0,FR4
19.898989899,0,FR4
20.0,0,FR4
